GATEWAYID,SIP REQUEST,OWNER,Type,OPERATOR,,IP,Position,Conso Max
2262,SIP/41.204.105.85/933422520,FRED,SIMBOX,ORANGE,,s2-192.168.0.202,2,2151
2263,SIP/41.204.105.85/933422530,FRED,SIMBOX,ORANGE,,s2-192.168.0.202,3,2151
2264,SIP/41.204.105.85/933422540,FRED,SIMBOX,ORANGE,,s2-192.168.0.202,4,2151
2265,SIP/41.204.105.85/933422550,FRED,SIMBOX,ORANGE,,s2-192.168.0.202,5,2151
2266,SIP/41.204.105.85/933422560,FRED,SIMBOX,ORANGE,,s2-192.168.0.202,6,2151
2267,SIP/41.204.105.85/933422570,FRED,SIMBOX,ORANGE,,s2-192.168.0.202,7,2151
2268,SIP/41.204.105.85/933422580,FRED,SIMBOX,ORANGE,,s2-192.168.0.202,8,2151
2271,SIP/41.204.105.85/933422510,FRED,SIMBOX,ORANGE,,s2-192.168.0.203,1,2151
2272,SIP/41.204.105.85/933422520,FRED,SIMBOX,ORANGE,,s2-192.168.0.203,2,2151
2273,SIP/41.204.105.85/933422530,FRED,SIMBOX,ORANGE,,s2-192.168.0.203,3,2151
2274,SIP/41.204.105.85/933422540,FRED,SIMBOX,ORANGE,,s2-192.168.0.203,4,2151
2275,SIP/41.204.105.85/933422550,FRED,SIMBOX,ORANGE,,s2-192.168.0.203,5,2151
2276,SIP/41.204.105.85/933422560,FRED,SIMBOX,ORANGE,,s2-192.168.0.203,6,2151
2277,SIP/41.204.105.85/933422570,FRED,SIMBOX,ORANGE,,s2-192.168.0.203,7,2151
2278,SIP/41.204.105.85/933422580,FRED,SIMBOX,ORANGE,,s2-192.168.0.203,8,2151
2511,SIP/41.204.96.185/933425110 ,HAINGO,SIMBOX,ORANGE,COMPTA,192.168.0.26,1,
2512,SIP/41.204.96.185/933425120 ,HAINGO,SIMBOX,ORANGE,COMPTA,192.168.0.26,2,
2513,SIP/41.204.96.185/933425130 ,HAINGO,SIMBOX,ORANGE,COMPTA,192.168.0.26,3,
2514,SIP/41.204.96.185/933425140 ,HAINGO,SIMBOX,ORANGE,COMPTA,192.168.0.26,4,
2515,SIP/41.204.96.185/933425150 ,HAINGO,SIMBOX,ORANGE,COMPTA,192.168.0.26,5,
